epsilon,min_phase_len,use_offline_slack,horizon,m_off,m_onl,seed_count,total_objective_mean,total_objective_sum,offline_failures,online_failures,valid
0.25,10,True,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,10,True,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,10,False,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,10,False,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,10,False,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,15,True,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,15,True,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,15,True,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,15,False,60,0,60,50,89.96553616250684,5397.93216975041,0,0,True
0.25,15,False,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,15,False,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,20,True,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.25,20,True,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,20,True,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.25,20,False,60,0,60,50,89.96217917046418,5397.730750227851,0,0,True
0.25,20,False,100,0,100,50,150.15240492664444,15015.240492664443,0,0,True
0.25,20,False,150,0,150,50,225.58966590673882,33838.44988601082,0,0,True
0.3,1,True,60,0,60,50,89.97949220076333,5398.7695320458,0,0,True
0.3,1,True,100,0,100,50,150.1951694919561,15019.516949195611,0,0,True
0.3,1,True,150,0,150,50,226.49718751974945,33974.57812796241,0,0,True
0.3,1,False,60,0,60,50,89.97949220076333,5398.7695320458,0,0,True
0.3,1,False,100,0,100,50,150.1951694919561,15019.516949195611,0,0,True
0.3,1,False,150,0,150,50,226.49718751974945,33974.57812796241,0,0,True
0.3,2,True,60,0,60,50,89.97949220076333,5398.7695320458,0,0,True
0.3,2,True,100,0,100,50,150.1951694919561,15019.516949195611,0,0,True
0.3,2,True,150,0,150,50,226.49718751974945,33974.57812796241,0,0,True
0.3,2,False,60,0,60,50,89.97949220076333,5398.7695320458,0,0,True
0.3,2,False,100,0,100,50,150.1951694919561,15019.516949195611,0,0,True
0.3,2,False,150,0,150,50,226.49718751974945,33974.57812796241,0,0,True
0.3,5,True,60,0,60,50,89.97949220076333,5398.7695320458,0,0,True
0.3,5,True,100,0,100,50,150.1951694919561,15019.516949195611,0,0,True
0.3,5,True,150,0,150,50,226.49718751974945,33974.57812796241,0,0,True
0.3,5,False,60,0,60,50,89.97949220076333,5398.7695320458,0,0,True
0.3,5,False,100,0,100,50,150.1951694919561,15019.516949195611,0,0,True
0.3,5,False,150,0,150,50,226.49718751974945,33974.57812796241,0,0,True
0.3,10,True,60,0,60,50,89.97949220076333,5398.7695320458,0,0,True
0.3,10,True,100,0,100,50,150.1951694919561,15019.516949195611,0,0,True
0.3,10,True,150,0,150,50,226.49718751974945,33974.57812796241,0,0,True
0.3,10,False,60,0,60,50,89.97949220076333,5398.7695320458,0,0,True
